,state,ref_year,enrolled,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_expenditure_per_student,instruction_expenditure_per_student,support_expenditure_per_student,7yr_avg_total_per_student,7yr_avg_instruction_per_student,7yr_avg_support_per_student
958,South Carolina,2010,715590.0,7755419,1058473,3377539,3319407,8242553,3797945,2445636,389554.0,1203253,11.518541343506756,5.307431629843905,3.4176497715172096,11.33993967682021,5.25600464263696,3.4178298500147966
1009,South Carolina,2011,713511.0,7772777,1041572,3338715,3392490,7961448,3689782,2428477,388361.0,1016126,11.158129307046423,5.171303595880092,3.4035593004172324,11.435541952314736,5.3375444664112175,3.5165802788803466
1060,South Carolina,2012,715744.0,7889771,848254,3586738,3454779,7948441,3749691,2489094,408649.0,869025,11.105145135690973,5.238871719497474,3.4776316671882683,11.4954196457889,5.3834261261702805,3.5811320465252563
1111,South Carolina,2013,722249.0,8254462,814137,3819285,3621040,8224795,3933177,2621911,426662.0,853410,11.387755469374136,5.445735473500136,3.6302037109085648,11.575639668313675,5.434127297909008,3.6675755824138987
1162,South Carolina,2014,729386.0,8417698,812536,3902923,3702239,8452743,4035914,2747427,430577.0,862750,11.588847331865432,5.533303353779755,3.7667668422481375,11.585156055781496,5.455243242586525,3.709229884230013
1213,South Carolina,2015,737401.0,8759944,836137,4094766,3829041,8783362,4123140,2893109,447019.0,928112,11.911242322698234,5.591448886019954,3.923386325757627,11.67056140552851,5.512031171927812,3.7703640009925694
1264,South Carolina,2016,743320.0,9161667,840786,4262164,4058717,9187299,4274682,3013294,458918.0,1073334,12.359816768013776,5.750796426841737,4.053831458860248,11.811915472987895,5.5803210350353964,3.8435470844436446
41,South Dakota,1992,,551668,60671,147834,343163,593126,320561,169697,,65568,,,,4.821756174319932,2.6374358015919204,1.3831102826038517
92,South Dakota,1993,107050.0,465650,52787,120851,292012,481665,265549,139963,22308.0,43632,4.49943951424568,2.480607192900514,1.3074544605324614,4.880701927725154,2.6807782163566305,1.4060989333409264
143,South Dakota,1994,108439.0,507927,51846,126591,329490,525289,284638,148152,23351.0,52745,4.844096681083374,2.624867436992226,1.3662243288853642,4.953303070634928,2.72124516436413,1.4293297038220247
194,South Dakota,1995,135494.0,684882,65762,179725,439395,693964,380309,199942,30140.0,68754,5.121732327630744,2.806832774883021,1.4756520583937296,5.101687596534407,2.7703757472385244,1.459103868055849
245,South Dakota,1996,136394.0,710728,67493,209375,433860,689818,383377,201190,32183.0,56451,5.057539187940819,2.8108054606507618,1.4750648855521504,5.2817587564610475,2.8356118436620674,1.4986357233819094
296,South Dakota,1997,135601.0,747462,70568,265354,411540,711052,390953,206419,33050.0,63192,5.243707642274025,2.8831129563941267,1.5222527857464179,5.624349349971445,2.96786424648997,1.5810381501915052
347,South Dakota,1998,133698.0,793101,77009,281856,434236,781279,403237,214983,34336.0,107579,5.843610226031803,3.016028661610495,1.6079746892249698,5.993383510152875,3.1193726884949133,1.682556411165672
398,South Dakota,1999,131728.0,825851,84745,295753,445353,838078,425090,228657,33934.0,123444,6.362185716020892,3.227028422203328,1.7358268553382727,6.3651726724780175,3.2643504626589475,1.7768934675285155
449,South Dakota,2000,130279.0,868161,105960,302405,459796,898609,443779,245481,36959.0,144296,6.897573668818459,3.4063740126958297,1.884271448199633,6.755042609221084,3.4218694877200853,1.8968841086207715
500,South Dakota,2001,127986.0,886661,104645,316617,465399,950595,471683,265808,39681.0,143663,7.427335802353382,3.685426531026831,2.0768521557045303,7.161180921548501,3.605779527795256,2.029698847651743
551,South Dakota,2002,127129.0,930874,127130,346086,457658,981977,485846,271549,42634.0,149374,7.72425646390674,3.8216771940312597,2.1360114529336345,7.53834947558326,3.79207162770669,2.1625507325372184
602,South Dakota,2003,127632.0,965778,148498,328576,488704,993823,499480,295468,42694.0,122247,7.786628745142284,3.9134386360787263,2.314999373197944,7.8645396141674935,3.979168681677174,2.307574037955053
653,South Dakota,2004,125156.0,1007135,156117,343216,507802,1012096,521961,306877,44816.0,105677,8.08667582856595,4.170483236920323,2.451955958963214,8.17213296857519,4.169246970676189,2.4338406129810863
704,South Dakota,2005,124862.0,1053504,176738,350316,526450,1059303,539413,316892,46872.0,124727,8.48379010427512,4.320073360990533,2.5379378834232993,8.488736710424174,4.359178883420099,2.5497621919837608
755,South Dakota,2006,121718.0,1086433,177452,355719,553262,1052315,552199,334845,48881.0,86227,8.645516686110518,4.536707799996714,2.7509899932631163,8.822064120161746,4.541942641794708,2.6732726140474314
806,South Dakota,2007,121158.0,1136570,174096,371645,590829,1096568,573916,335382,50283.0,105370,9.050727149672328,4.736922035688935,2.768137473381865,9.191541085762891,4.746061211684685,2.7844807543719
857,South Dakota,2008,121606.0,1190917,180925,394721,615271,1172715,609848,351235,61081.0,114678,9.643561995296285,5.014949920234199,2.888303208723254,9.572331278254735,4.902610168924925,2.878485419638295
908,South Dakota,2009,126624.0,1258876,201889,412798,644189,1273527,645912,379946,56772.0,154459,10.05754833206975,5.1010235026535256,3.000584407379328,9.81097876824039,5.0113667593653135,2.9407060502984312
959,South Dakota,2010,123555.0,1292742,250554,398601,643587,1281632,660064,382212,57639.0,146273,10.372967504350289,5.342268625308567,3.093456355469224,10.03685979283773,5.090464813566767,2.9760037108315784
1010,South Dakota,2011,125613.0,1297661,262395,374648,660618,1350617,661519,390655,59757.0,199636,10.752207176008852,5.266325937602,3.1099886158279797,10.225947732116213,5.175031156990223,3.032411069790303
1061,South Dakota,2012,127726.0,1298723,212615,395054,691054,1296971,649023,379791,63166.0,172398,10.154322534174717,5.08136949407325,2.973482298044251,10.423580042196551,5.221487057924747,3.078210137777507
1112,South Dakota,2013,130296.0,1316613,194731,408009,713873,1332496,663258,390637,64999.0,179586,10.226683858291889,5.090394179406889,2.9980736169951494,10.559674993068816,5.270947318697311,3.119099032352184
1163,South Dakota,2014,130653.0,1345549,186216,413544,745789,1355439,696235,413254,68154.0,146035,10.374342724621707,5.328886439653127,3.162988986092933,10.590792907855237,5.259060434262102,3.123372811832677
1214,South Dakota,2015,132836.0,1415149,206853,425614,782682,1464781,709363,426257,70128.0,222592,11.026988165858652,5.340141226775874,3.2088966846336837,10.558510054224515,5.257607333594121,3.1260496510336164
1265,South Dakota,2016,134045.0,1455737,196644,438629,820464,1475864,730176,440580,78149.0,192504,11.010212988175613,5.447245328061472,3.2868066694020666,10.659556934236964,5.30166679347434,3.1641914892809577
42,Tennessee,1992,,3080490,308571,1305381,1466538,3132516,1830264,799825,,232437,,,,4.236883831586058,2.454264108813095,1.086678853124355
93,Tennessee,1993,844668.0,3268642,334410,1535027,1399205,3286481,1969619,781510,209586.0,248037,3.890855341980518,2.331826232318497,0.9252274266338963,4.392345566836913,2.510827846429515,1.1391867119187662
144,Tennessee,1994,857014.0,3535898,341912,1694595,1499391,3661470,2101003,996094,225590.0,270608,4.272357277710749,2.451538714653436,1.1622843967543122,4.5731700710764125,2.6080080313705474,1.187094786712574
195,Tennessee,1995,870594.0,3870164,332765,1855788,1681611,3958973,2245634,1020793,221723.0,394695,4.547438875066908,2.579427379467352,1.1725247359848563,4.759275091282613,2.711227861450492,1.234712236635674
246,Tennessee,1996,881749.0,4123018,340239,1967170,1815609,4284181,2363545,1143373,229847.0,460149,4.858730772589478,2.680519059278774,1.2967102883019999,4.9498672659075575,2.8047942005742437,1.277278299762378
297,Tennessee,1997,886517.0,4390879,359191,2114799,1916889,4695409,2656651,1222265,248981.0,479484,5.296468088034409,2.9967287711346766,1.3787270858878058,5.308152769020789,2.9702481029996934,1.3767636869513296
348,Tennessee,1998,876693.0,4757639,405078,2268050,2084511,4988208,2829375,1291193,274143.0,494391,5.689800192313615,3.2273270118502144,1.4727994862511735,5.681038127836521,3.1435587424279805,1.4589353890884982
399,Tennessee,1999,893842.0,5059587,417870,2369846,2271871,5446555,3008844,1369969,291537.0,669601,6.093420313657224,3.366192235316756,1.5326746785226024,6.044054179111781,3.328646254427212,1.549984354515043
450,Tennessee,2000,907222.0,5338531,462000,2429713,2446818,5805181,3166208,1471174,307022.0,743326,6.3988538637731445,3.490003549296644,1.6216251369565553,6.373203589052493,3.5173646717837506,1.6357520474715923
501,Tennessee,2001,895839.0,5560822,494851,2494453,2571518,6165661,3282993,1556508,323329.0,868777,6.882554789420867,3.664713190651445,1.7374863117144934,6.672545920620538,3.691536750677042,1.7203323912246269
552,Tennessee,2002,897695.0,5785857,550490,2544653,2690714,6363357,3478604,1624709,328546.0,762594,7.088551233993728,3.8750399634619774,1.8098674939706694,6.932930679240853,3.8561248686936684,1.7996509213874086
603,Tennessee,2003,905050.0,5994756,608447,2648909,2737400,6482671,3621601,1716956,341055.0,635950,7.162776642174466,4.001547980774543,1.8970841389978454,7.170427442797766,4.01169672140063,1.8796613185054372
654,Tennessee,2004,911624.0,6349101,692353,2743825,2912923,6738601,3843346,1796619,356397.0,574810,7.391864409010733,4.215933323387713,1.970789492159048,7.398138299286473,4.166448017738271,1.9612028687703256
705,Tennessee,2005,940769.0,6806262,787269,2962151,3056842,7067521,4120045,1907907,378064.0,483208,7.512493502655806,4.379443837966599,2.0280291973906452,7.668992978636331,4.338684618167821,2.063619850534825
