,state,ref_year,enrolled,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_expenditure_per_student,instruction_expenditure_per_student,support_expenditure_per_student,7yr_avg_total_per_student,7yr_avg_instruction_per_student,7yr_avg_support_per_student
74,Minnesota,1993,781566.0,4862635,213724,2284106,2364805,5290504,2756415,1327959,466306.0,512196,6.7691071515393455,3.526784686130154,1.6991002679236302,7.255034641608069,3.6976456094242502,1.7844656815234974
125,Minnesota,1994,802913.0,5262482,224106,2822949,2215427,5581140,2876527,1388180,490949.0,565106,6.951114255218187,3.582613558380547,1.7289295353294816,7.448903925769164,3.784378800348302,1.8194266665559873
176,Minnesota,1995,816695.0,5744447,235069,2919940,2589438,6155324,3109813,1526879,523268.0,662497,7.536869945328427,3.8078021782917735,1.8695828920221136,7.556891795272116,3.823789691863766,1.8570977546983045
227,Minnesota,1996,827418.0,6101416,241241,3435468,2424707,6423285,3204906,1522656,551475.0,762106,7.763047214346316,3.8733820148945273,1.840250030818764,7.738797128745033,3.8908353140131005,1.9059391383387558
278,Minnesota,1997,837847.0,6304977,251210,3321859,2731908,6890773,3461407,1641569,585789.0,799154,8.224381062413544,4.131311564044509,1.9592706066859462,8.087746803105807,4.037768353047136,1.993595961353522
329,Minnesota,1998,841723.0,6672384,313550,3363505,2995329,6815289,3384437,1721705,452482.0,781250,8.096831142786879,4.0208441494410865,2.0454531954098916,8.499009639802718,4.206087453892974,2.1074423264911353
380,Minnesota,1999,843802.0,6949149,322148,3873937,2753064,7450965,3622534,1855510,497073.0,965469,8.830229129582532,4.293109046909109,2.1989874401814644,8.918424461309817,4.368245887304722,2.1960004169982312
431,Minnesota,2000,839839.0,7344747,330914,4265438,2748395,7736391,3825732,1942294,531329.0,901829,9.211754872064764,4.555315959368403,2.312698029026992,9.355993172160732,4.5621282148220805,2.3017990729281133
482,Minnesota,2001,836386.0,7836617,350797,4694722,2791098,8221636,3981906,2112589,569072.0,964810,9.829954112096567,4.760847264301411,2.5258540912927763,9.738384724441513,4.754821168351264,2.3846163319490192
533,Minnesota,2002,832265.0,8065042,409915,4771002,2884125,8716123,4113812,2071915,595228.0,1283085,10.472773695878116,4.942911212174007,2.489489525571783,10.174399844021151,4.993685428150501,2.470756579734665
584,Minnesota,2003,825674.0,8484497,463746,6064474,1956277,8938770,4318736,2130933,613899.0,1204124,10.82602819030271,5.230558307516041,2.5808406223279405,10.614461511921712,5.228123515216573,2.5642361829693834
635,Minnesota,2004,822245.0,8688315,507014,6019336,2161965,8963393,4506036,2087673,653077.0,1039748,10.90112192837901,5.480162238748791,2.5389914198322883,11.067247385467551,5.467574837877757,2.6579906490437772
686,Minnesota,2005,814660.0,8777363,529037,5912340,2335986,9082593,4637773,2157574,646632.0,937357,11.148936979844352,5.692893968035745,2.64843492990941,11.51295822748601,5.714348896807658,2.7549859525341867
737,Minnesota,2006,812040.0,9314477,558287,6368364,2387826,9671933,4818788,2317030,697359.0,1063443,11.910660804886458,5.9341756563716075,2.8533446628244916,12.013637819480582,6.04571013657761,2.8832044822769203
788,Minnesota,2007,810104.0,9693509,546297,6267386,2879826,10030105,5048143,2405182,730882.0,1074228,12.381255986885634,6.231475217996701,2.9689792915477518,12.354537496845152,6.312555005480691,2.9619815233310063
839,Minnesota,2008,807929.0,10118118,558886,6513673,3045559,10462624,5242058,2589268,768142.0,1136550,12.949930006225795,6.48826567681071,3.204821215725639,12.694950787897616,6.539068779650803,3.0499033345165416
890,Minnesota,2009,800831.0,10353784,575703,6590788,3187293,11193640,5815987,2712430,803017.0,1187008,13.977530839840115,7.262439890563677,3.3870192337709204,13.012938176501427,6.739100459672882,3.1280945381305143
941,Minnesota,2010,799615.0,10383935,1245368,5978487,3160080,10564774,5676045,2504618,795088.0,949938,13.212325931854705,7.098472389837609,3.132279909706546,13.259371811767327,6.928608609110549,3.1926542088295444
992,Minnesota,2011,798891.0,10912368,842906,6289912,3779550,10612480,5644771,2520057,805204.0,1016875,13.284014965746266,7.065758657939568,3.154444098131034,13.497131185437274,7.101381567691285,3.2662432049706562
1043,Minnesota,2012,799736.0,10681609,740098,6642440,3299071,10696348,5672620,2555775,826218.0,1034162,13.374848700071023,7.093115728190303,3.1957733552072183,13.765962109163777,7.282198601410101,3.327767070685876
1094,Minnesota,2013,802454.0,10848720,646542,6792440,3409738,10942019,5826404,2652321,850969.0,1016760,13.635696251747763,7.26073270243528,3.305262357717701,14.032067722424097,7.398065909410549,3.375235358821057
1145,Minnesota,2014,804580.0,11168633,630445,7603409,2934779,11300786,5986788,2803239,880403.0,1069928,14.045571602575256,7.440885928061846,3.484102264535534,14.168691354185661,7.4479981626727065,3.4157279336734754
1196,Minnesota,2015,807044.0,11684249,629909,7567199,3487141,11969872,6257807,2933999,893322.0,1328863,14.831746472311298,7.753984912842422,3.635488275732178,14.34562663187354,7.524446063619334,3.467984700781964
1247,Minnesota,2016,811157.0,12186135,634332,7887346,3664457,12848946,6548885,3016934,954208.0,1743709,15.840270132662358,8.073511046566818,3.7192972507171853,14.588321114824168,7.632278647476592,3.53603753717565
24,Mississippi,1992,,1684706,277706,901199,505801,1691990,956104,445364,,131795,,,,3.882835204830664,2.1583027207485874,1.0413270148060791
75,Mississippi,1993,329408.0,1170109,174870,612301,382938,1167032,652571,318799,89766.0,87575,3.5428162036137554,1.9810417476199729,0.9677937390713037,4.038375902234997,2.2335538283819814,1.0785650682141419
126,Mississippi,1994,503374.0,1911579,296345,1048767,566467,1919812,1072529,515600,148515.0,159184,3.813887884555023,2.1306801702114133,1.024288103875051,4.1511057386637,2.2799989283269704,1.112698575954149
177,Mississippi,1995,503301.0,2118973,310290,1185162,623521,2160068,1189394,569686,164815.0,204426,4.291801526323214,2.363186244414376,1.1318992014718827,4.299024429916227,2.336024572213288,1.1512658341670872
228,Mississippi,1996,503602.0,2241561,295014,1285429,661118,2268726,1238512,599427,166353.0,231093,4.504997994447996,2.459307151282163,1.1902792284383303,4.484455183193281,2.3940687080536707,1.1945993270354822
279,Mississippi,1997,503979.0,2274700,305516,1253204,715980,2319324,1242701,629587,167473.0,244101,4.602025084378516,2.465779328106925,1.249232606914177,4.835567835775412,2.5472558980008992,1.288173465599111
330,Mississippi,1998,504792.0,2400660,322350,1319058,759252,2543454,1320613,678492,173401.0,333170,5.038617886178862,2.6161527916448755,1.3441021252317786,5.1338618769258035,2.688546572492754,1.3857812222887467
381,Mississippi,1999,502382.0,2532681,339359,1374920,818402,2811852,1377699,730765,181454.0,455812,5.597039702855596,2.742333523095971,1.4546002842458527,5.399055638189931,2.8114661689825913,1.4782290574032861
432,Mississippi,2000,499362.0,2743284,368830,1504225,870229,2996474,1524728,810371,183118.0,421075,6.000604771688675,3.0533520772505716,1.6228127090167053,5.686858159045921,2.9547644281205336,1.5886796479915628
483,Mississippi,2001,496513.0,2823151,385896,1519788,917467,2930393,1548979,847817,190656.0,282202,5.901946172607767,3.119714891654398,1.7075424007024993,6.036975239190604,3.1336951715923225,1.710574382969639
534,Mississippi,2002,492198.0,3029559,438583,1639832,951144,3026111,1586661,875637,196509.0,299474,6.148157855172106,3.223623419843234,1.779034047273658,6.360583302878522,3.3192313274281573,1.8354269703915291
585,Mississippi,2003,491623.0,3260771,482904,1754451,1023416,3205193,1702193,965269,203597.0,267397,6.51961564043993,3.462394965247761,1.9634333625562677,6.736955051173056,3.533667105918983,1.9874406653012116
636,Mississippi,2004,492557.0,3481643,516520,1907476,1057647,3473928,1831472,1035599,216747.0,322751,7.0528446453912945,3.718294532409447,2.10249575176071,7.082038352914373,3.7220563030030034,2.1304890346826357
687,Mississippi,2005,494382.0,3639643,552628,1958500,1128515,3610904,1935459,1096574,231190.0,281713,7.303874331994288,3.914905882495722,2.2180702371850107,7.502489617819107,3.938460801816857,2.281729891094748
738,Mississippi,2006,493952.0,4279581,856762,2108733,1314086,4066036,2096028,1244115,243110.0,413302,8.231641940917337,4.243383972531744,2.5186961486136306,7.948288964625514,4.15201783046644,2.4324611849808018
789,Mississippi,2007,494135.0,4220926,712846,2214700,1293380,4158733,2160396,1296685,251539.0,379581,8.416187883877887,4.372076456838718,2.6241512946866745,8.3256999593474,4.336496557083774,2.558671508931807
840,Mississippi,2008,493302.0,4449009,708253,2389484,1351272,4363308,2286231,1364586,264883.0,377201,8.8451050269409,4.634546383351375,2.7662283955872873,8.583784233742872,4.457138147130647,2.6640633794870374
891,Mississippi,2009,491194.0,4392101,675576,2334363,1382162,4552756,2317710,1392119,275915.0,493773,9.268753282816972,4.718522620390314,2.834153104476032,8.828329675058928,4.565050161147875,2.7693844413358817
942,Mississippi,2010,491651.0,4466377,945973,2109089,1411315,4504257,2337184,1399684,273024.0,421984,9.161492603493128,4.753746051569101,2.8469056302133016,8.91908805424433,4.618099930951731,2.834267851760913
993,Mississippi,2011,490526.0,4516742,1006465,2071467,1438810,4345783,2238165,1393211,274243.0,368906,8.859434566159592,4.562785662737551,2.8402388456473253,9.011567093241148,4.654704421547909,2.900741689426271
1044,Mississippi,2012,490619.0,4477828,795110,2195720,1486998,4423270,2291333,1449935,281636.0,329375,9.01569242120668,4.670289980616324,2.9553176701269215,9.095722916504906,4.6777475285044305,2.9501002805572907
1095,Mississippi,2013,492847.0,4444064,707522,2213501,1523041,4370050,2274357,1465175,284089.0,285801,8.866950595215148,4.614732361158737,2.9728800215888502,9.13229209459316,4.711028507801555,3.00098034064283
1146,Mississippi,2014,492421.0,4480105,664697,2243098,1572310,4463078,2279076,1521319,287150.0,316494,9.063541156855617,4.62830789101196,3.089468158344181,9.127425343109833,4.703908917173631,3.026659459047752
1197,Mississippi,2015,490189.0,4592343,672366,2324855,1595122,4624539,2350872,1525340,285117.0,407791,9.434195789787205,4.795848132047027,3.1117385335044236,9.18102349849988,4.732133568060847,3.0639435817278367
1248,Mississippi,2016,486245.0,4755399,690724,2411621,1653054,4631356,2407637,1551274,287245.0,335067,9.52473752943475,4.951489475470185,3.190313525074808,9.22235626782318,4.747594464921978,3.091100059628066
25,Missouri,1992,,4043682,255194,1903124,1885364,4197600,2168135,1221397,,474552,,,,5.396561213718235,2.822421425241812,1.587188649336076
76,Missouri,1993,834636.0,4196601,271548,1939230,1985823,4234845,2229886,1250115,227686.0,399553,5.073882506865268,2.6716868191642824,1.4977966442856527,5.557314578318251,2.9022096128001627,1.6256673928321206
127,Missouri,1994,852324.0,4488359,294270,2089445,2104644,4575564,2396531,1349465,245316.0,443146,5.368338800737748,2.8117605511519095,1.5832770167213408,5.674571862710172,2.967924733863359,1.6538409439961772
178,Missouri,1995,862505.0,4852467,313295,2276277,2262895,4957215,2573557,1449433,262319.0,526263,5.74746233355169,2.983816905409244,1.6804922870012349,5.800832516343374,3.0384243708400973,1.6886413026874267
229,Missouri,1996,873867.0,5251014,324566,2536393,2390055,5277785,2745318,1521493,283616.0,568575,6.039574672118297,3.1415741754752156,1.7411036233202535,5.948173905161181,3.116420510475911,1.726412231489047
280,Missouri,1997,899750.0,5550134,336452,2695581,2518101,5527705,2906899,1589440,310482.0,552305,6.143601000277855,3.2307852181161434,1.7665351486524035,6.2724356123834495,3.2757184564547885,1.8116871013291587
331,Missouri,1998,909441.0,5990499,387035,2873051,2730413,5849648,3083844,1693964,327445.0,553090,6.432135784509385,3.3909225557237908,1.862643096143675,6.618191705148386,3.4474684499987904,1.9146902132429706
382,Missouri,1999,911563.0,6238901,403205,2964597,2871099,6228001,3267404,1780317,354185.0,615448,6.832222238068022,3.5843973482907927,1.9530378042987704,6.996122866979816,3.6337703693654384,2.0239367637479
433,Missouri,2000,913517.0,6675260,437898,3097822,3139540,6708608,3459281,1913563,374060.0,756817,7.343714457421154,3.7867724410164234,2.0947207331664326,7.358721226679721,3.818634944828445,2.1370717734407907
484,Missouri,2001,911673.0,7081783,464119,3272289,3345375,7100685,3659465,2100767,402233.0,715516,7.788631450092303,4.014010505959922,2.304298800118025,7.7151938033832215,3.9918462500960787,2.2531943129095042
535,Missouri,2002,909918.0,7455539,544538,3347137,3563864,7636924,3901665,2224948,432144.0,828732,8.392980466371695,4.28793034097578,2.4452181405357405,8.089475270675258,4.176043199137413,2.3752675345924983
586,Missouri,2003,921625.0,7622601,559732,3430809,3632060,7905481,4087984,2334521,448752.0,767068,8.577763190017633,4.435626203716262,2.533048691170487,8.466506634105176,4.364877958471294,2.505836962142241
637,Missouri,2004,914055.0,7893957,620282,3460158,3813517,7896438,4061388,2357707,449882.0,739399,8.638909037202357,4.443264354989579,2.5793929249334013,8.868594916764648,4.568439499572798,2.6363667793849563
688,Missouri,2005,902659.0,8340865,694008,3640728,4006129,8170965,4224716,2452665,457530.0,708726,9.052106055553647,4.680301199013138,2.7171556479246317,9.330314726385394,4.790810300321934,2.7745926017917455
739,Missouri,2006,913765.0,8846493,740742,3830104,4275647,8654672,4483151,2619786,467463.0,758141,9.471441782077449,4.9062406636279565,2.867023797146969,9.76594733232089,5.005389198023157,2.9084482662955673
790,Missouri,2007,910142.0,8908844,730811,3641310,4536723,9245525,4743390,2738098,485391.0,925265,10.158332436037453,5.211703228726946,3.008429453865441,10.154798760077863,5.205516477413987,3.031061443135313
841,Missouri,2008,898350.0,9335599,723460,3808601,4803538,9900419,5004354,2939293,518600.0,1070552,11.020670117437524,5.570606111203873,3.271879556965548,10.488717304847247,5.383405638608825,3.1365759054055258
892,Missouri,2009,893807.0,9472520,758650,3927189,4786681,10227305,5175127,3023041,535977.0,1120105,11.442408707920166,5.789982624884343,3.3822077920624922,10.780612076202397,5.5235478370947035,3.2273191681119258
943,Missouri,2010,897348.0,9587703,1430854,3471772,4685077,10139784,5237387,3043213,549680.0,926566,11.299723184316452,5.836517159452074,3.3913409290487078,11.020042350425578,5.640991534355377,3.3084666758896626
994,Missouri,2011,896702.0,9915356,1344755,3828396,4742205,9842505,5100879,2975252,531640.0,849819,10.976338850588045,5.688488483353444,3.3179941608248895,11.22048238016797,5.735242532344267,3.388037147986964
1045,Missouri,2012,893221.0,10022622,994192,4115324,4913106,9910617,5056789,2994397,553027.0,891474,11.095369455039682,5.66129658841429,3.352358486869431,11.332705026409851,5.801559671883603,3.4433564920978568
1096,Missouri,2013,897224.0,10103589,894168,4235564,4973857,10001763,5139610,3082015,566933.0,833040,11.147453701639725,5.728346544452667,3.43505635159113,11.415763331157828,5.85385212670388,3.488765185258582
1147,Missouri,2014,892992.0,10256615,895743,4267069,5093803,10324249,5243167,3183894,577580.0,919482,11.561412644234215,5.871460214649179,3.565422758546549,11.43510335563139,5.856741287912516,3.5050025612935616
1198,Missouri,2015,892779.0,10623391,948600,4441091,5233700,10540353,5387766,3266781,615166.0,869078,11.806228641130671,6.03482608797922,3.659114965741802,11.526856256640059,5.890391848824329,3.5424042413872954
1249,Missouri,2016,891554.0,10893231,924655,4568867,5399709,10719882,5488433,3298811,630287.0,890008,12.023816841156004,6.156029808626286,3.7000686441875645,11.634727957040154,5.9476656639268395,3.5899156800167615
26,Montana,1992,,828983,69947,337455,421581,781009,412219,241644,,64263,,,,5.361001698983986,3.032663769253581,1.6731529534288956
77,Montana,1993,158875.0,813998,74386,445532,294080,833435,446245,261677,64200.0,49720,5.245853658536586,2.808780487804878,1.6470621557828482,5.4178414852543755,3.0878647173204987,1.6930819591613988
128,Montana,1994,163968.0,878986,83029,446392,349565,878084,508299,271711,36336.0,50333,5.355215651834504,3.0999890222482436,1.6570977263856361,5.516366533859693,3.148665156481168,1.7235700522011883
179,Montana,1995,164109.0,911284,89446,449477,372361,899635,523380,281496,36492.0,46881,5.48193578658087,3.189221797707621,1.715298978118202,5.632082658074661,3.2149703203527094,1.7512354465497557
230,Montana,1996,165390.0,944623,90354,452250,402019,924259,538091,289907,37370.0,48074,5.588360844065542,3.2534675615212527,1.7528689763589091,5.744877857253982,3.28361746973844,1.7816315162245309
281,Montana,1997,164464.0,989991,90565,465343,434083,972059,557840,303522,39685.0,59716,5.910466728280961,3.391866913123845,1.8455224243603463,5.950176105604757,3.4389124164408287,1.8440448506175369
332,Montana,1998,162164.0,1035636,102844,478345,454447,1007146,575114,306419,39258.0,73846,6.210663279149503,3.5464961397104164,1.8895624182925927,6.227806670441033,3.5854168935469297,1.9349959834351027
383,Montana,1999,159813.0,1049369,115211,466300,467858,1026263,590589,313874,40088.0,69898,6.421649052329911,3.695500366052824,1.9640079342731818,6.540415354074623,3.753043374686683,2.0305026873415817
434,Montana,2000,157381.0,1104935,130928,487115,486892,1051768,613132,327975,41385.0,57419,6.682941396992013,3.8958451147215993,2.083955496533889,6.9006427387841835,3.943516360101195,2.147078749176434
485,Montana,2001,154700.0,1139959,128783,537866,473310,1129098,638218,354844,44456.0,73732,7.298629605688429,4.12552036199095,2.293755656108597,7.253210640282161,4.137469809868897,2.2697065707104613
536,Montana,2002,151751.0,1168799,151981,554360,462458,1163960,662030,361751,47877.0,70448,7.670196572016,4.362607165685893,2.3838459054635552,7.602324046263931,4.333668231621838,2.401557233638865
587,Montana,2003,149801.0,1205602,171819,553269,480514,1214879,687104,384824,48570.0,75983,8.109952537032463,4.586778459422835,2.568901409202876,8.039766014755294,4.546941775850258,2.5563272567162763
638,Montana,2004,148168.0,1270790,191840,560584,518366,1241417,703730,400634,51163.0,64150,8.378442038766805,4.74954106149776,2.7039171750985367,8.513486947244036,4.776395923914828,2.717541141344625
689,Montana,2005,146552.0,1293070,191687,578321,523062,1268328,721019,412180,53055.0,59998,8.65445712102189,4.919885091981003,2.8125170587914186,9.030273548452698,5.019698944789222,2.881957290325302
740,Montana,2006,145259.0,1375638,190226,626958,558454,1377599,753664,442662,56642.0,97873,9.48374283176946,5.188415175651767,3.0473980958150615,9.569319598652934,5.258761963905816,3.0551734751639636
791,Montana,2007,144258.0,1474306,190631,702476,581199,1442434,793711,463422,58824.0,100592,9.998987924413203,5.5020241511735914,3.2124526889323297,10.067138822679786,5.506594148124011,3.2242862276094586
842,Montana,2008,142695.0,1562815,185898,766328,610589,1557678,831718,491537,62756.0,141860,10.91613581414906,5.828641508111707,3.444668698973335,10.541338937845856,5.739173642793234,3.3832615270942483
893,Montana,2009,141782.0,1607935,195705,765177,647053,1622485,855803,509899,66973.0,158151,11.443518923417642,6.036048299502053,3.5963591993341892,10.964729860317517,5.928411428191546,3.5206288497505844
944,Montana,2010,141693.0,1623971,256049,744931,622991,1642886,895727,531730,68814.0,110195,11.59468710522044,6.321603748950195,3.752690676321343,11.29013783192538,6.094609275647779,3.6308419435749815
995,Montana,2011,141529.0,1631810,264517,713642,653651,1655584,902615,540180,72488.0,103728,11.697842844929308,6.377597524182323,3.8167442714920616,11.601700948268018,6.249970860323088,3.738036464513808
1046,Montana,2012,142237.0,1628318,214164,761029,653125,1652537,888206,536815,73808.0,117001,11.618193578323503,6.244549589769188,3.7740883173857718,11.827228976891082,6.347444298507324,3.821232516095158
1097,Montana,2013,142797.0,1671053,210593,788329,672131,1679521,907018,545326,74629.0,111496,11.761598633024503,6.351800107845403,3.8188897525858385,12.041389097639817,6.442384048458462,3.896712303136019
1148,Montana,2014,144034.0,1729712,201528,822788,705396,1754324,949120,570780,77193.0,121753,12.17992973881167,6.589555243900746,3.962814335504117,12.11583942970971,6.462514098376506,3.9207159076051314
1199,Montana,2015,144447.0,1804339,214980,851068,738291,1804841,940488,581694,80426.0,160885,12.494832014510513,6.510955575401359,4.027041060042784,12.199438746665793,6.479497413215341,3.941510234827745
1250,Montana,2016,145240.0,1800909,220340,840804,739765,1879789,973199,599074,85351.0,179414,12.942639768658772,6.700626549160011,4.1247177086202145,12.344750038751364,6.53823436907688,3.9833657141882384
27,Nebraska,1992,,1542413,85423,492256,964734,1534046,909159,394690,,132183,,,,6.208357632293381,3.580282802885916,1.5766401816013518
78,Nebraska,1993,281354.0,1625242,94308,509432,1021502,1642376,972575,424311,57564.0,141118,5.837400570100301,3.45676620911734,1.5081036701095416,6.33371099883447,3.607759474515786,1.6122867747260319
129,Nebraska,1994,283962.0,1710913,101579,528743,1080591,1769248,1033858,447649,63108.0,173484,6.230580148047978,3.640832224029976,1.5764398053260646,6.4054622827018886,3.630145176515851,1.644025436736096
180,Nebraska,1995,285836.0,1832463,102783,560994,1168686,1874253,1041372,470308,66223.0,242244,6.55709217873186,3.6432499755104324,1.645377069368449,6.461916628846674,3.646245124431888,1.6722299293169838
231,Nebraska,1996,289251.0,1909834,100886,574359,1234589,1940808,1067391,497288,71038.0,247543,6.709771098457741,3.6901894894053955,1.7192265541000722,6.553320672848471,3.6802078574097115,1.69954796713755
282,Nebraska,1997,290883.0,1994021,115783,630765,1247473,1946725,1081994,515148,77333.0,213672,6.692467418171567,3.7196879845161113,1.7709800847763533,6.79519859585871,3.7769695291695173,1.7677214647004844
333,Nebraska,1998,291570.0,2062836,130904,663420,1268512,1966403,1086607,528690,79003.0,213815,6.7441883595706,3.7267448640120726,1.8132523922214219,7.07897244636783,3.8857007424347643,1.8603631705020718
384,Nebraska,1999,290383.0,2212104,150963,805824,1255317,2062226,1127843,541116,85361.0,244788,7.101744936859252,3.8839842552766517,1.863456194060947,7.432344326627893,4.039103815391821,1.9613809220513851
435,Nebraska,2000,287566.0,2263952,152143,812998,1298811,2165529,1188826,570910,94639.0,243866,7.5305460311719745,4.134097911435983,1.9853181530500825,7.794014821949493,4.22382920807119,2.0595240154604926
486,Nebraska,2001,285331.0,2355374,166068,806280,1383026,2344564,1256013,634842,100439.0,278832,8.216997101611812,4.401950716886703,2.224931745937175,8.17919096589662,4.432264433182946,2.1645615379239596
537,Nebraska,2002,283789.0,2528312,199359,879775,1449178,2562812,1338653,667614,107557.0,365430,9.030695340552311,4.717071486209825,2.3525013302136446,8.5756508620039,4.6466515941541005,2.282776317915343
588,Nebraska,2003,283934.0,2600831,225861,878715,1496255,2623966,1414919,683210,112145.0,329746,9.241464565708933,4.983267238160981,2.4062282079638226,8.995580750210772,4.877571271554478,2.4196207774236247
639,Nebraska,2004,284170.0,2734724,240120,874804,1619800,2667987,1471641,712199,109956.0,296377,9.388700425801456,5.1787345602984125,2.5062427420206213,9.471040359970957,5.119840485985633,2.5567810838618428
690,Nebraska,2005,284553.0,2895640,295968,878576,1721096,2708776,1487488,751435,127968.0,264339,9.51940763232157,5.2274549908101475,2.6407558521611088,9.930305380308921,5.367224924799264,2.665979376485397
741,Nebraska,2006,285547.0,3107061,301764,948001,1857296,2867250,1570629,805633,128776.0,280954,10.041254154307348,5.50042199707929,2.8213674106189175,10.363230092861686,5.616247443947195,2.7727560504344733
792,Nebraska,2007,287135.0,3234014,298196,992032,1943786,3117931,1673992,845739,131267.0,378827,10.858763299493269,5.829982412454072,2.94544029811761,10.806139888715908,5.9165663837694655,2.8780302016734747
843,Nebraska,2008,290912.0,3383157,321975,1091160,1970022,3325663,1784350,869629,135025.0,444442,11.431852243977561,6.133641788582114,2.989319794302057,11.229296597738344,6.185544379931007,2.97685195583458
894,Nebraska,2009,292161.0,3522481,297732,1182776,2041973,3523803,1887427,905681,144995.0,488293,12.061168328421658,6.460229120245344,3.0999380478571745,11.71146844619346,6.505890260547663,3.067145066489295
945,Nebraska,2010,294948.0,3720560,465728,1184996,2069836,3640199,2089854,927065,152158.0,371348,12.341833136688502,7.08549981691688,3.1431472666368308,12.120433661028725,6.8123423599843616,3.147735534860665
996,Nebraska,2011,297659.0,3879388,571969,1153077,2154342,3676326,2101943,951912,171112.0,349683,12.350797388958506,7.061580533429193,3.197995021148361,12.432114692163964,7.08143234680296,3.2192354624739328
1047,Nebraska,2012,300941.0,3764056,366016,1166374,2231666,3880517,2247992,984922,165408.0,374671,12.894610571507371,7.4698761551267525,3.272807626744113,12.758695902858562,7.324474080104417,3.2965990390126274
1098,Nebraska,2013,303242.0,3870164,366241,1217306,2286617,3913038,2318463,1026626,168033.0,298231,12.904010658154213,7.645586693136175,3.385500689218512,13.136556773230891,7.545635212803774,3.373992561678413
1149,Nebraska,2014,307398.0,4005091,318179,1283012,2403900,4008633,2371149,1059275,175887.0,307828,13.040530517439931,7.713612320184256,3.4459397914104843,13.269010712654621,7.622324445451589,3.4124667775186768
1200,Nebraska,2015,312281.0,4248695,344382,1350116,2554197,4283846,2446701,1102622,183067.0,449287,13.717920718839762,7.834933921692322,3.530864830072915,13.452653377393844,7.734473227856069,3.4553611287927395
1251,Nebraska,2016,315542.0,4398811,346826,1437048,2614937,4640422,2526973,1149107,206577.0,641968,14.706194421027945,8.008357049140843,3.6416927065176745,13.592164078865462,7.8006224960383985,3.5009995043048967
28,Nevada,1992,,1097076,45018,724032,328026,1251651,572623,334685,,249189,,,,5.629098153914701,2.7783332350221124,1.6981232591792683
79,Nevada,1993,222846.0,1148268,52876,753277,342115,1265367,611914,360827,41799.0,195478,5.678212756791686,2.7459052439801477,1.619176471644095,5.739502955613584,2.8074464486914166,1.7294068278194672
130,Nevada,1994,235800.0,1266549,56664,817216,392669,1344245,654272,406932,44739.0,184082,5.700784563189143,2.7746904156064462,1.7257506361323156,5.942705220965342,2.8542632295373656,1.7564656921487791
181,Nevada,1995,250749.0,1367710,65007,860823,441880,1381200,705709,438671,48399.0,126131,5.508297141763277,2.8144040454797428,1.749442669761395,6.092915890839266,2.908603384477731,1.7868048510581491
232,Nevada,1996,265041.0,1551169,67278,997400,486491,1608989,767237,483238,53033.0,229949,6.07071736071023,2.8947860896993296,1.823257533740063,6.278084308375202,2.9700540072106563,1.8264298616165517
283,Nevada,1997,282131.0,1701290,68131,1089122,544037,1905940,858110,526090,57372.0,369529,6.755514282372373,3.0415303529211606,1.8647011494660282,6.536305205531335,3.0667493498017597,1.9003456105484315
334,Nevada,1998,296621.0,1906860,84699,1193619,628542,2030065,943345,575000,60708.0,340415,6.843969240208886,3.180304159179559,1.9385006456049976,6.855182695209367,3.163329063908183,1.9629842412509695
385,Nevada,1999,311063.0,2089048,92027,1324474,672547,2298474,1038564,642090,65517.0,448757,7.389094813590816,3.338757743608208,2.064179924966968,7.240958493199855,3.3021828183055395,2.010504806877981
436,Nevada,2000,325610.0,2252416,110210,1378678,763528,2437438,1114489,695694,69965.0,428541,7.485759036884617,3.422772642117871,2.1365867141672554,7.537078432241586,3.432491789406979,2.0469036073347064
487,Nevada,2001,339451.0,2381897,118318,1438406,825173,2692840,1171360,734647,76426.0,575873,7.932926990935363,3.4507484143514087,2.164221051050078,7.768721444087747,3.5706113997700255,2.091841581705754
538,Nevada,2002,354869.0,2592064,152525,1582993,856546,2913023,1343669,738868,87437.0,604874,8.208727727696699,3.78638032626124,2.082086629150475,8.035982673991093,3.711583527305509,2.145929193798954
589,Nevada,2003,369498.0,2778564,191839,1663026,923699,3009028,1406660,767835,88985.0,576610,8.14355693400235,3.806948887409404,2.0780491369371417,8.372803425470062,3.871707822610223,2.2278409870523306
640,Nevada,2004,385414.0,3069531,221488,1850655,997388,3228619,1544881,839920,99050.0,574726,8.3770153652955,4.00836762546249,2.1792669700633605,8.772038837866944,4.0744324746328875,2.3335393631188
691,Nevada,2005,399727.0,3381646,251421,1996995,1133230,3483540,1665706,926213,115483.0,584219,8.714797849532307,4.167109051927941,2.317113930257401,9.26505993464165,4.279298984314953,2.4672625174714398
742,Nevada,2006,412747.0,3691628,258814,2137351,1295463,4022979,1840698,1088646,119224.0,760380,9.746840073943602,4.459627810741205,2.6375624777406013,9.60979930418505,4.449641629679242,2.6219695570388035
793,Nevada,2007,422782.0,4006081,277849,2266751,1461481,4346371,2047045,1216122,139918.0,731227,10.280406923662786,4.8418452062765205,2.8764753466325437,9.882514355150684,4.619349498007267,2.783196073696115
844,Nevada,2008,428776.0,4338601,280898,2493641,1564062,4881218,2094491,1329327,150730.0,1058467,11.384074668358304,4.884813982125865,3.1002831315185553,10.101984315917559,4.7655003871609045,2.929804165750064
